preco,taxa,km/l,km
12000,150,25,25659
17698,145,15,7796
90000,300,10,905659
5000,270,14,15659
9798,0,32,63992
14698,240,16,41222
10000,145,26,77475
14000,150,25,14618
13000,150,25,20046
17500,145,17,16834
16500,145,21,2385
10500,145,20,57022
22500,145,21,3265
9000,145,23,21008
25500,145,18,11095
11561,145,24,30260
13500,145,23,19417
11000,0,28,33761
17999,145,23,14487
18999,145,25,14436
14399,145,27,20616
17999,145,16,16782
16899,145,23,23625
10999,20,27,19999
12500,145,24,41072
9499,145,24,32831
10500,145,28,40114
8995,145,28,42105
8995,160,20,94951
6795,0,28,56808
18499,145,18,21023
11799,145,29,38302
8299,0,28,41738
12499,145,25,14001
8699,125,23,40234
7999,0,33,97735
8991,145,23,29871
18990,145,26,13518
7236,0,28,62909
15287,145,25,53348
20000,145,28,39
20000,145,23,898
21378,145,17,5245
9814,145,28,24301
8261,145,25,40234
8788,145,28,25125
12251,145,25,14355
16320,145,26,39916
13140,145,21,11
10491,145,21,69232
13870,145,23,66960
14960,145,18,37906
13540,145,25,11141
17970,145,32,17679
9330,20,29,47664
6000,0,28,76626
8995,145,18,8243
8495,145,21,51
6395,125,23,50794
14495,145,25,13086
19995,145,13,39538
18495,145,23,63738
17995,145,24,18501
5495,30,23,82512
16995,145,25,11570
16495,145,23,47360
17998,145,17,19573
7498,160,19,53145
17498,150,21,4368
17498,150,24,27441
5998,0,32,71300
11000,125,26,51193
8700,145,19,69332
15300,145,23,75895
7490,0,28,40234
10760,145,26,48105
18760,145,17,16475
6360,0,28,78299
6270,0,28,97989
17920,235,16,25452
4790,0,28,119297
7830,0,32,80667
6990,0,32,48040
18640,160,21,38793
6700,30,23,46566
9498,145,28,49769
13698,145,25,21594
13298,145,25,22138
14398,145,23,40515
8998,145,27,34226
12698,145,24,19521
11998,145,24,27928
13498,145,25,25463
13498,145,25,16990
9698,20,26,33452
24995,235,16,12870
9895,145,28,30705
12995,145,25,24106
9295,125,24,77094
8495,125,23,39284
13895,145,25,21887
18298,145,29,34530
9198,0,32,50714
10798,0,28,19059
8998,0,28,50490
18498,145,23,12546
13498,145,23,42804
14998,30,27,25714
13998,240,16,21348
9998,125,22,32977
10998,125,21,26248
17698,145,18,23427
11498,125,22,49756
12798,145,32,35652
8698,30,24,51085
19495,145,20,22005
9995,145,28,41482
10995,0,32,49766
13998,150,27,39435
11998,145,27,10570
8998,30,26,69137
16698,145,23,8235
8998,125,23,51074
7998,0,28,30919
12495,145,28,19998
